run_date,us_date,kr_date,rank,market,ticker,rev90,fwd_per,gap,dv_musd,price,in_top4,in_top4_cap2,pct,in_top5_abs,rz,in_top5_rz,pct_base_n,rev30,stale,below_ma120,adj_gap,strategy,px_chg20,crash5,na,up30
2026-07-08,2026-07-07,2026-07-07,1,US,SNDK,165.65,7.91,7.107,21321.7,1617.699951171875,1,1,,,,,,,,,,,,,,
2026-07-08,2026-07-07,2026-07-07,2,KR,005930.KS,92.04,5.34,4.367,6915.7,296000.0,1,1,,,,,,,,,,,,,,
2026-07-08,2026-07-07,2026-07-07,3,KR,000660.KS,81.92,5.76,3.609,9259.7,2201000.0,1,0,,,,,,,,,,,,,,
2026-07-08,2026-07-07,2026-07-07,4,US,MU,68.5,6.79,6.529,57139.0,938.3800048828125,1,0,,,,,,,,,,,,,,
2026-07-08,2026-07-07,2026-07-07,5,US,HPE,49.17,11.4,3.564,1724.7,43.470001220703125,0,1,,,,,,,,,,,,,,
2026-07-08,2026-07-07,2026-07-07,6,US,DELL,44.48,22.72,,4460.3,417.2799987792969,0,1,,,,,,,,,,,,,,
2026-07-08,2026-07-07,2026-07-07,7,US,FLEX,41.68,25.37,,1262.5,131.52000427246094,0,0,,,,,,,,,,,,,,
2026-07-08,2026-07-07,2026-07-07,8,US,MCHP,27.4,24.64,16.266,1195.7,84.1500015258789,0,0,,,,,,,,,,,,,,
2026-07-08,2026-07-07,2026-07-07,9,US,AVGO,19.6,21.9,2.822,13187.0,370.7799987792969,0,0,,,,,,,,,,,,,,
2026-07-08,2026-07-07,2026-07-07,10,US,TSM,18.38,23.81,,6022.6,432.57000732421875,0,0,,,,,,,,,,,,,,
2026-07-08,2026-07-07,2026-07-08,1,US,SNDK,165.65,7.91,7.107,21321.7,1617.699951171875,1,1,,,,,,,,,,,,,,
2026-07-08,2026-07-07,2026-07-08,2,KR,000660.KS,82.02,5.43,3.613,9281.0,2076000.0,1,1,,,,,,,,,,,,,,
2026-07-08,2026-07-07,2026-07-08,3,US,MU,68.5,6.79,6.529,57139.0,938.3800048828125,1,0,,,,,,,,,,,,,,
2026-07-08,2026-07-07,2026-07-08,4,KR,005930.KS,63.73,4.88,4.483,6926.9,277500.0,1,0,,,,,,,,,,,,,,
2026-07-08,2026-07-07,2026-07-08,5,US,HPE,49.17,11.4,3.564,1724.7,43.470001220703125,0,1,,,,,,,,,,,,,,
2026-07-08,2026-07-07,2026-07-08,6,US,DELL,44.48,22.72,,4460.3,417.2799987792969,0,1,,,,,,,,,,,,,,
